name daily_cost daily_return
Robert 8.199 10.515
Sara 7.418 9.883
Maria 8.094 14.304
Alexandra 7.025 12.303
Allison 6.621 10.437
Justin 7.815 14.552
Christina 7.597 12.398
Jacob 6.057 13.159
Nicole 8.775 9.852
William 6.036 14.317
Justin 7.337 10.198
Tara 8.693 13.107
Louis 5.254 9.595
Jackson 6.053 9.958
Sean 6.407 12.405
Robin 5.799 11.707
Krystal 5.294 13.339
Michele 6.486 9.988
Shawna 7.363 10.411
Amy 8.009 12.064
Tracy 6.991 12.559
Matthew 7.457 9.39
Benjamin 6.211 13.978
Joanna 7.031 14.251
Dean 7.926 13.422
Tiffany 5.619 8.283
Sara 8.5 11.686
Miranda 7.634 13.044
Michael 7.899 11.688
James 6.294 14.584
Beverly 7.216 10.858
Hannah 6.998 11.903
Robin 8.598 9.842
Michelle 7.744 9.775
Matthew 8.83 8.284
Victoria 8.576 12.309
Darren 5.846 14.885
Bradley 6.18 13.746
Steven 6.888 12.674
Bill 6.648 13.62
Veronica 8.822 14.488
Joe 6.265 14.353
Elizabeth 8.978 13.468
Kathryn 7.692 14.447
Wesley 7.916 9.318
Andrew 6.499 12.215
Laura 6.347 10.861
Jimmy 8.461 8.485
Jacob 8.651 13.097
Daniel 7.548 8.09
Anthony 6.637 13.958
Todd 7.645 13.728
Lisa 5.017 11.477
Allison 8.701 12.923
Diana 7.729 13.77
Sherri 5.029 9.919
Joseph 7.334 14.866
Danielle 6.943 12.985
Ryan 8.773 12.644
Lori 5.674 13.605
Laura 7.616 11.716
Gary 7.556 12.674
Donna 8.115 12.194
Nathan 8.672 10.729
Tina 6.108 12.534
Mark 7.08 13.23
Kayla 7.866 14.138
Alexandria 7.938 9.98
Mitchell 7.67 10.343
Michael 7.534 13.991
Taylor 6.228 10.063
Kara 7.345 8.276
Sarah 5.816 12.838
Thomas 7.579 11.508
Jason 5.732 13.696
Troy 5.414 8.107
Jake 6.862 10.999
Timothy 5.152 9.957
Andrew 5.474 8.157
Katherine 5.882 13.019
Jeremiah 7.405 10.456
Sarah 8.264 8.284
Amanda 7.683 9.056
Stephanie 8.31 10.792
Laura 5.548 12.511
Patricia 5.393 14.267
Steven 5.212 10.914
Elizabeth 6.193 13.151
Wendy 7.012 9.866
Jay 6.599 12.961
Rebecca 6.262 12.547
Michael 8.115 14.628
Calvin 8.2 8.007
Dennis 8.13 11.383
Taylor 8.858 14.878
Mary 5.731 11.014
Christopher 8.02 10.24
Laura 7.286 13.106
Luke 5.175 13.593
Christina 7.778 14.917
