name price daily_cost daily_return fail_prob repair_cost repair_time
Blitztron 157.298 82.594 129.557 0.312 60.247 4
Metalwave 135.396 86.058 132.144 0.353 54.582 4
Mechatronix 145.565 83.458 161.174 0.325 58.333 4
Xylor 155.466 82.487 159.946 0.356 55.822 4
Titanix 137.054 87.21 110.411 0.395 51.518 4
Cytron 131.851 88.793 130.232 0.397 46.635 4
Axalia 143.309 82.637 177.496 0.342 56.264 4
Mekazoid 159.765 89.372 173.779 0.316 56.036 4
RoboBlitz 140.319 81.011 143.934 0.363 48.449 4
Mechatronix 159.242 81.719 150.026 0.33 55.229 4
Atomika 145.713 84.839 123.826 0.398 55.607 4
Gearlock 139.357 80.273 179.294 0.383 50.368 4
Sparkblitz 155.595 80.756 141.465 0.339 61.535 4
TechVantage 148.387 86.918 167.385 0.38 54.925 4
CyberQuark 145.616 85.528 122.907 0.348 54.388 4
ElectraTech 152.817 89.948 116.747 0.329 54.216 4
GalaxiX 133.999 85.155 110.015 0.36 45.876 4
Mechabot-X 146.747 88.698 121.408 0.383 52.42 4
Circuitronix 140.13 82.509 168.392 0.328 49.098 4
MachinaMax 138.426 86.04 166.082 0.333 49.672 4
TitanTron 130.345 86.82 136.833 0.346 53.052 4
ElectraX 154.823 83.669 101.909 0.318 56.604 4
MechaPrime 145.794 87.81 133.779 0.364 50.947 4
TechnaBot 155.856 84.746 90.901 0.367 59.439 4
Exotronix 144.493 86.681 133.322 0.314 50.243 4
RoboTech 155.832 85.494 128.936 0.334 56.723 4
Xantron 132.934 80.082 168.906 0.352 45.496 4
Cybrix 139.324 87.742 171.81 0.396 49.94 4
Nextron 152.578 87.863 109.725 0.343 52.424 4
RoboTronX 151.8 87.694 175.098 0.347 57.682 4
Sparktronix 154.598 81.741 176.763 0.36 55.78 4
Transcendron 133.944 88.385 91.979 0.394 54.411 4
NexusBot 152.69 84.8 135.775 0.331 52.862 4
Stellaroid 150.623 85.522 96.163 0.371 58.662 4
Blitztronix 150.403 84.151 123.662 0.396 57.327 4
Rumbletron 138.2 83.467 95.337 0.319 53.024 4
Technolux 153.43 82.059 143.704 0.377 52.543 4
Mechanon 148.381 85.505 174.555 0.389 53.883 4
Dynabotix 130.838 80.224 120.145 0.319 45.805 4
Neondefender 138.307 85.134 126.045 0.383 47.596 4
Mechano 138.179 80.506 158.531 0.373 55.091 4
ZoBot 153.162 80.209 124.629 0.308 55.297 4
X-9000 155.21 89.454 117.104 0.312 59.619 4
Techmax 131.104 84.418 117.616 0.349 52.758 4
Buzzelex 137.363 82.145 109.832 0.38 49.349 4
Optibot 158.995 89.259 164.975 0.393 58.161 4
